branche;de;vers;longueur_m;azimut_deg;pente_deg;z_de;z_vers;source_z_de;source_z_vers
1;entree;B1_1;7.75;281.6;-13.9;0.94;-0.92;coupe;coupe
1;B1_1;B1_2;11.43;275.3;-28.1;-0.92;-6.3;coupe;coupe
1;B1_2;B1_3;21.21;274.8;-28.1;-6.3;-16.29;coupe;coupe
1;B1_3;B1_4;10.16;297.9;9.4;-16.29;-14.63;coupe;coupe
1;B1_4;B1_5;10.27;304.6;-23.0;-14.63;-18.64;coupe;coupe
1;B1_5;B1_6;17.39;248.5;-25.3;-18.64;-26.06;coupe;coupe
1;B1_6;B1_7;5.68;178.6;-19.2;-26.06;-27.94;coupe;coupe
1;B1_7;B1_8;13.97;280.7;-22.9;-27.94;-33.38;coupe;coupe
1;B1_8;B1_9;5.17;251.6;-4.1;-33.38;-33.75;coupe;coupe
1;B1_9;B1_10;11.26;260.9;-7.7;-33.75;-35.26;coupe;coupe
1;B1_10;B1_11;6.8;258.5;0.1;-35.26;-35.26;coupe;coupe
1;B1_11;B1_12;15.35;238.6;-9.6;-35.26;-37.82;coupe;coupe
1;B1_12;B1_13;5.75;250.1;-25.1;-37.82;-40.25;coupe;coupe
1;B1_13;B1_14;5.88;287.6;-5.6;-40.25;-40.83;coupe;coupe
1;B1_14;B1_15;10.56;233.3;3.7;-40.83;-40.15;coupe;coupe
1;B1_15;B1_16;5.61;210.1;11.3;-40.15;-39.05;coupe;coupe
1;B1_16;B1_17;4.28;256.5;-22.8;-39.05;-40.71;coupe;coupe
1;B1_17;fin;0.51;338.2;-36.2;-40.71;-41.01;coupe;coupe
